plot,grid_cell,Species,Chamber size class,ID,timepoint,condition,collection_date,start_time,end_time,Rounded time,timezone,Temperature_F,Temperature_C,flux_CO2_ppm_ss,flux_CH4_ppb_s,flux_CO2_ppm_min,flux_CH4_ppm_min,notes,instrument,personnel,Length (cm),Width (cm),Height (cm),Surface Area (cm2),Volume (cm3),SA:Volume Ratio,Quantity,Surface Area of Tree Covered (cm2),Volume (L),Surface Area of Tree Covered (m2),flux_CO2_umol_m2_min,flux_CH4_nmol_m2_min,flux_CO2_umol_m2_min_MEAN,flux_CO2_umol_m2_min_SE,flux_CO2_umol_m2_min_SE1,flux_CO2_umol_m2_min_SE2,flux_CH4_nmol_m2_min_MEAN,flux_CH4_nmol_m2_min_SE,flux_CH4_nmol_m2_min_SE1,flux_CH4_nmol_m2_min_SE2,Note
Control,,NA,NA,NA,NA,pre-flood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.57532,5.496201,73.071521,62.079119,3.576134,1.2390608,4.8151948,2.3370732,This is for all species considered together
Control,,NA,NA,NA,NA,flooded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.49076,4.802211,73.292971,63.688549,3.543064,0.9915075,4.5345715,2.5515565,This is for all species considered together
Control,,NA,NA,NA,NA,post-flood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.42745,5.653121,71.080571,59.774329,3.446135,1.2065286,4.6526636,2.2396064,This is for all species considered together
Freshwater,,NA,NA,NA,NA,pre-flood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.48214,5.416601,76.898741,66.065539,1.381384,0.3101775,1.6915615,1.0712065,This is for all species considered together
Freshwater,,NA,NA,NA,NA,flooded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.27224,5.065944,84.338184,74.206296,1.621811,0.3397577,1.9615687,1.2820533,This is for all species considered together
Freshwater,,NA,NA,NA,NA,post-flood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.41283,6.295083,86.707913,74.117747,2.40296,0.6307045,3.0336645,1.7722555,This is for all species considered together
Estuarine,,NA,NA,NA,NA,pre-flood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.98558,4.623204,78.608784,69.362376,2.883276,2.2065769,5.0898529,0.6766991,This is for all species considered together
Estuarine,,NA,NA,NA,NA,flooded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.86289,4.122707,81.985597,73.740183,6.670447,2.7240908,9.3945378,3.9463562,This is for all species considered together
Estuarine,,NA,NA,NA,NA,post-flood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.79636,5.554878,84.351238,73.241482,6.690895,2.970727,9.661622,3.720168,This is for all species considered together
Control,F5,Tulip Poplar,2,C1,T0,pre-flood,6/4/23,13:11,13:17,13:00,EDT,73,22.77777778,0.639,0.165,38.34,0.0099,,TG10-01286,KAM,28,20.5,7.6,1885.2,4362.4,0.432147442,4,574,4.3624,0.0574,119.9953268,30.9847088,,,,,,,,,
Control,F5,Tulip Poplar,2,C1,T1,pre-flood,6/5/23,15:04,15:11,15:00,EDT,81,27.22222222,0.685,0.175,41.1,0.0105,...1mL...,TG10-01286,"Cooper Norris, Vanessa Bailey",28,20.5,7.6,1885.2,4362.4,0.432147442,4,574,4.3624,0.0574,126.7301683,32.37632036,,,,,,,,,
Control,F5,Tulip Poplar,2,C1,T2,flooded,6/6/23,12:53,12:58,13:00,EDT,82,27.77777778,0.695,0.18,41.7,0.0108,,TG10-01286,"Cooper Norris, Kendal",28,20.5,7.6,1885.2,4362.4,0.432147442,4,574,4.3624,0.0574,128.3428662,33.23987903,,,,,,,,,
Control,F5,Tulip Poplar,2,C1,T3A,flooded,6/7/23,8:55,9:00,9:00,EDT,72,22.22222222,0.605,0.135,36.3,0.0081,,TG10-01286,"Cooper Norris, Vanessa Bailey",28,20.5,7.6,1885.2,4362.4,0.432147442,4,574,4.3624,0.0574,113.8242852,25.39880745,,,,,,,,,
Control,F5,Tulip Poplar,2,C1,T3B,flooded,6/7/23,13:52,13:59,14:00,EDT,78,25.55555556,0.697,0.181,41.82,0.01086,,TG10-01286,"KAM, CGN",28,20.5,7.6,1885.2,4362.4,0.432147442,4,574,4.3624,0.0574,129.6697536,33.67320718,,,,,,,,,
Control,F5,Tulip Poplar,2,C1,T4,post-flood,6/8/23,14:04,14:09,14:00,EDT,79,26.11111111,0.694,0.177,41.64,0.01062,,TG10-01286,KAM,28,20.5,7.6,1885.2,4362.4,0.432147442,4,574,4.3624,0.0574,128.8719482,32.86791762,,,,,,,,,
Control,F5,Tulip Poplar,2,C1,T5,post-flood,6/9/23,11:55,12:00,12:00,EDT,74,23.33333333,0.612,0.157,36.72,0.00942,,TG10-01286,KAM,28,20.5,7.6,1885.2,4362.4,0.432147442,4,574,4.3624,0.0574,114.7097531,29.42717522,,,,,,,,,
Control,C5,Tulip Poplar,2,C3,T0,pre-flood,6/4/23,14:07,14:13,14:00,EDT,75,23.88888889,0.709,-0.002,42.54,-0.00012,,TG10-01286,KAM,28,20.5,7.6,1885.2,4362.4,0.432147442,4,574,4.3624,0.0574,132.6423266,-0.374167353,,,,,,,,,
Control,C5,Tulip Poplar,2,C3,T1,pre-flood,6/5/23,13:21,13:26,13:00,EDT,78,25.55555556,0.708,-0.001,42.48,-0.00006,frayed bungee on top box,TG10-01286,"Cooper Norris, Vanessa Bailey",28,20.5,7.6,1885.2,4362.4,0.432147442,4,574,4.3624,0.0574,131.7161916,-0.186039819,,,,,,,,,
Control,C5,Tulip Poplar,2,C3,T2,flooded,6/6/23,13:09,13:14,13:00,EDT,82,27.77777778,0.69,0,41.4,0,,TG10-01286,"Cooper Norris, Kendal",28,20.5,7.6,1885.2,4362.4,0.432147442,4,574,4.3624,0.0574,127.4195363,0,,,,,,,,,
Control,C5,Tulip Poplar,2,C3,T3A,flooded,6/7/23,9:10,9:15,9:00,EDT,72,22.22222222,0.64,-0.001,38.4,-0.00006,,TG10-01286,"Cooper Norris, Vanessa Bailey",28,20.5,7.6,1885.2,4362.4,0.432147442,4,574,4.3624,0.0574,120.4091612,-0.188139314,,,,,,,,,
Control,C5,Tulip Poplar,2,C3,T3B,flooded,6/7/23,14:25,14:30,14:00,EDT,78,25.55555556,0.675,-0.001,40.5,-0.00006,,TG10-01286,"KAM, CGN",28,20.5,7.6,1885.2,4362.4,0.432147442,4,574,4.3624,0.0574,125.5768776,-0.186039819,,,,,,,,,
Control,C5,Tulip Poplar,2,C3,T4,post-flood,6/8/23,12:56,13:01,13:00,EDT,78,25.55555556,0.72,-0.001,43.2,-0.00006,,TG10-01286,KAM,28,20.5,7.6,1885.2,4362.4,0.432147442,4,574,4.3624,0.0574,133.9486694,-0.186039819,,,,,,,,,
Control,C5,Tulip Poplar,2,C3,T5,post-flood,6/9/23,11:14,11:23,11:00,EDT,74,23.33333333,0.569,-0.001,34.14,-0.00006,,TG10-01286,KAM,28,20.5,7.6,1885.2,4362.4,0.432147442,4,574,4.3624,0.0574,106.6500809,-0.187434237,,,,,,,,,
Estuarine,F7,Tulip Poplar,2,S1,T0,pre-flood,6/4/23,16:03,16:07,16:00,EDT,78,25.55555556,0.554,0.003,33.24,0.00018,,TG10-01028,Nick W,28,20.5,7.6,1885.2,4362.4,0.432147442,4,574,4.3624,0.0574,103.0660595,0.558119456,,,,,,,,,
Estuarine,F7,Tulip Poplar,2,S1,T1,pre-flood,6/5/23,14:27,14:32,14:00,EDT,80,26.66666667,0.652,0.005,39.12,0.0003,,TG10-01028,Nick W,28,20.5,7.6,1885.2,4362.4,0.432147442,4,574,4.3624,0.0574,120.8484353,0.926751805,,,,,,,,,
Estuarine,F7,Tulip Poplar,2,S1,T2,flooded,6/6/23,13:13,13:20,13:00,EDT,82,27.77777778,0.554,0.003,33.24,0.00018,,TG10-01028,Nick W,28,20.5,7.6,1885.2,4362.4,0.432147442,4,574,4.3624,0.0574,102.304961,0.553997984,,,,,,,,,
Estuarine,f7,Tulip Poplar,2,S1,T3A,flooded,6/7/23,10:34,10:38,11:00,EDT,76,24.44444444,0.542,0.001,32.52,0.00006,,TG10-01028,Nick W,28,20.5,7.6,1885.2,4362.4,0.432147442,4,574,4.3624,0.0574,101.2100582,0.186734425,,,,,,,,,
Estuarine,F7,Tulip Poplar,2,S1,T3B,flooded,6/7/23,13:21,13:27,13:00,EDT,78,25.55555556,0.618,0.005,37.08,0.0003,,TG10-01028,Nick W,28,20.5,7.6,1885.2,4362.4,0.432147442,4,574,4.3624,0.0574,114.9726079,0.930199093,,,,,,,,,
Estuarine,F7,Tulip Poplar,2,S1,T4,post-flood,6/8/23,13:39,13:44,14:00,EDT,79,26.11111111,0.704,-0.001,42.24,-0.00006,,TG10-01028,"Nick W, Cooper Norris",28,20.5,7.6,1885.2,4362.4,0.432147442,4,574,4.3624,0.0574,130.7288927,-0.18569445,,,,,,,,,
Estuarine,F7,Tulip Poplar,2,S1,T5,post-flood,6/9/23,11:07,11:12,11:00,EDT,74,23.33333333,0.576,0.005,34.56,0.0003,,TG10-01028,Nick W,28,20.5,7.6,1885.2,4362.4,0.432147442,4,574,4.3624,0.0574,107.9621206,0.937171185,,,,,,,,,
Estuarine,G6,Tulip Poplar,2,S6,T0,pre-flood,6/4/23,14:57,15:01,15:00,EDT,76,24.44444444,0.534,0.001,32.04,0.00006,,TG10-01028,Nick W,28,20.5,7.6,1885.2,4362.4,0.432147442,4,574,4.3624,0.0574,99.71618281,0.186734425,,,,,,,,,
Estuarine,G6,Tulip Poplar,2,S6,T1,pre-flood,6/5/23,14:20,14:25,14:00,EDT,80,26.66666667,0.639,0.001,38.34,0.00006,,TG10-01028,Nick W,28,20.5,7.6,1885.2,4362.4,0.432147442,4,574,4.3624,0.0574,118.4388807,0.185350361,,,,,,,,,
Estuarine,G6,Tulip Poplar,2,S6,T2,flooded,6/6/23,13:32,13:39,14:00,EDT,82,27.77777778,0.562,0.001,33.72,0.00006,1/4 flooded ... barely,TG10-01028,Nick W,28,20.5,7.6,1885.2,4362.4,0.432147442,4,574,4.3624,0.0574,103.782289,0.184665995,,,,,,,,,
Estuarine,G6,Tulip Poplar,2,S6,T3A,flooded,6/7/23,10:09,10:14,10:00,EDT,74,23.33333333,0.542,0,32.52,0,not flooded,TG10-01028,Nick W,28,20.5,7.6,1885.2,4362.4,0.432147442,4,574,4.3624,0.0574,101.5893565,0,,,,,,,,,
Estuarine,G6,Tulip Poplar,2,S6,T3B,flooded,6/7/23,15:00,15:05,15:00,EDT,79,26.11111111,0.704,0,42.24,0,,TG10-01028,Nick W,28,20.5,7.6,1885.2,4362.4,0.432147442,4,574,4.3624,0.0574,130.7288927,0,,,,,,,,,
Estuarine,G6,Tulip Poplar,2,S6,T4,post-flood,6/8/23,14:06,14:11,14:00,EDT,79,26.11111111,0.717,-0.005,43.02,-0.0003,,TG10-01039,"Nick W, Cooper Norris",28,20.5,7.6,1885.2,4362.4,0.432147442,4,574,4.3624,0.0574,133.1429205,-0.928472249,,,,,,,,,
Estuarine,G6,Tulip Poplar,2,S6,T5,post-flood,6/9/23,11:14,11:19,11:00,EDT,74,23.33333333,0.577,-0.001,34.62,-0.00006,,TG10-01028,Nick W,28,20.5,7.6,1885.2,4362.4,0.432147442,4,574,4.3624,0.0574,108.1495548,-0.187434237,,,,,,,,,
Control,D4,Red Maple,3,C10,T0,pre-flood,6/4/23,13:57,14:02,14:00,EDT,75,23.88888889,0.339,0.003,20.34,0.00018,false start w/o tubing inserted,TG10-01286,KAM,28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,41.72458311,0.369244098,,,,,,,,,
Control,D4,Red Maple,3,C10,T1,pre-flood,6/5/23,13:13,13:18,13:00,EDT,78,25.55555556,0.364,0.004,21.84,0.00024,,TG10-01286,"Cooper Norris, Vanessa Bailey",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,44.55164078,0.48957847,,,,,,,,,
Control,D4,Red Maple,3,C10,T2,flooded,6/6/23,14:13,14:18,14:00,EDT,82,27.77777778,0.354,0.003,21.24,0.00018,,TG10-01286,"Cooper Norris, Kendal",28,15.5,5,1303,2170,0.600460829,24,434,2.17,0.0434,43.00773822,0.364472358,,,,,,,,,
